id_tanggal_transaksi_awal,tanggal_transaksi_awal,tipe_kartu,id_merchant,nama_merchant,tipe_mesin,tipe_transaksi,nama_transaksi,nilai_transaksi,id_negara,nama_negara,nama_kota,lokasi_mesin,pemilik_mesin,waktu_transaksi,kuartal_transaksi,kepemilikan_kartu,nama_channel,id_channel,rata_rata_nilai_transaksi,maksimum_nilai_transaksi,minimum_nilai_transaksi,rata_rata_jumlah_transaksi,flag_transaksi_fraud
2457419,2457507,111,-2,1798,-3,156,12,2500000,96,5,121,1264,2196,73140,2,1,5,8,1369047.619,10000000,30000,2.33,1
2457344,2457385,111,-2,1798,-3,156,12,1300000,96,5,229,80,223,163032,3,1,5,8,1121962.467,2700000,19896,2.37,1
2457555,2457614,104,-2,1798,2141266,238,9,5e+05,96,5,128,5546,613,91130,2,2,1,9,197729.0217,800000,30000,2.21,1
2457445,2457539,111,-2,1798,1531787,385,11,3e+05,96,5,265,1665,613,115159,2,2,1,9,603631.4563,3500000,20900,2.15,1
2457414,2457461,0,-2,1798,-3,156,12,1e+05,96,5,8,66,173,91108,2,1,5,8,544984.2915,18139977,26500,3.23,1
2457529,2457606,103,-2,1798,2018536,301,16,1e+07,96,5,256,2795,613,143153,3,2,1,9,539643.1471,1700000,48900,1.45,1
2457632,2457721,5,-2,1798,-3,156,12,5e+05,96,5,75,678,536,150352,3,1,5,8,697818.6538,12500000,28500,1.6,1
2457359,2457406,111,-2,1798,2305366,301,16,49863,96,5,114,3434,613,62931,2,2,1,9,793966.4571,5000000,11000,1.5,1
2457547,2457623,103,-2,1798,1595854,301,16,1481000,96,5,70,1837,613,132017,3,2,1,9,225404.9881,1000000,26500,1.32,1
2457517,2457611,93,-2,1798,-3,156,12,2500000,96,5,214,870,2408,3920,1,1,5,8,5532031.381,40000000,62769,3,1
2457440,2457496,5,-2,1798,81969,26,10,7e+05,96,5,128,3717,613,195339,4,2,1,9,241030,500000,50000,1.31,1
2457314,2457340,111,568254,354,1744684,58,6,160000,96,5,265,7249,724,91512,2,2,2,4,2219613.445,4000000,1000000,2.9,1
2457423,2457449,111,-2,1798,1892510,385,11,1e+06,96,5,70,2470,613,232539,4,2,1,9,1367065.934,6396000,50000,1.78,1
2457395,2457451,104,-2,1798,2632327,385,11,1250000,96,5,128,4226,613,92251,2,2,1,9,1428125.869,7710000,30000,3.42,1
2457460,2457557,5,-2,1798,-3,156,12,2e+06,96,5,153,68,224,213934,4,1,5,8,1560357.143,10000000,26500,1.69,1
2457431,2457519,104,641357,1485,3096337,58,6,403095,96,5,136,7499,2205,213408,4,2,2,4,390052.6471,3000000,12000,3.64,1
2457463,2457487,103,-2,1798,-3,156,12,1500000,96,5,265,280,563,74016,2,1,5,8,1267005.773,12025000,50000,2.82,1
2457609,2457682,5,-2,1798,3391203,385,11,1500000,96,5,138,4610,613,193421,4,2,1,9,1912381,20000000,38000,2.17,1
2457431,2457510,93,-2,1798,-3,156,12,1250000,96,5,275,7767,322,113005,2,1,5,8,1321542.553,6000000,100000,2.9,1
2457455,2457547,111,-2,1798,-3,156,12,5e+05,96,5,128,5668,590,161524,3,1,5,8,685714.2857,8831000,7097,1.33,1
2457573,2457598,104,235316,1142,3261158,58,6,171500,96,5,218,6414,1758,113931,2,2,2,4,66666.66667,200000,50000,1.47,1
2457533,2457591,111,-2,1798,-3,156,12,1250000,96,5,8,113,158,221450,4,1,5,8,273771.6705,7500000,15500,3.91,1
2457659,2457690,104,-2,1798,1892510,26,10,9e+05,96,5,128,2470,613,33630,1,2,1,9,907081.4433,10500000,101500,1.3,1
2457509,2457561,132,93594,1835,2723244,58,6,1141300,96,5,128,6823,2662,130831,3,2,2,4,3917040,24320500,200000,1.44,1
2457544,2457620,111,-2,1798,1224647,385,11,1250000,96,5,265,609,613,160149,3,2,1,9,803880.7252,5000000,62900,1.46,1
2457539,2457614,104,-2,1798,-3,156,12,1200000,96,5,209,1290,991,180302,4,1,5,8,1138461.538,6400000,100000,1.22,1
2457566,2457659,104,-2,1798,-3,156,12,3e+05,96,5,241,1463,1543,114042,2,1,5,8,719310.2545,2500000,26800,1.44,1
2457528,2457527,1,-2,1798,-3,156,12,1e+06,96,5,65,199,203,144139,3,1,5,8,836363.6364,3200000,26500,2.71,1
2457642,2457735,103,-2,1798,2802205,301,16,1e+06,96,5,293,7851,613,142220,3,2,1,9,1575784,11999000,24000,2.11,1
2457651,2457728,103,-2,1798,-3,440,15,275000,96,5,8,221,211,55844,1,1,5,8,280317.9167,2000000,10000,2.56,1
2457608,2457702,93,-2,1798,1245655,26,10,1250000,96,5,128,687,613,121505,3,2,1,9,2008558.394,85000000,100000,2.85,1
2457308,2457385,111,-2,1798,-3,156,12,1250000,96,5,128,5677,2027,171153,3,1,5,8,1069285.714,9000000,25000,1.57,1
